resultId;raceId;driverId;constructorId;grid;position
1;18;1;1;1;1
2;18;2;2;5;2
3;18;3;3;7;3
4;18;4;4;11;4
5;18;5;1;3;5
6;18;6;3;13;6
7;18;7;5;17;7
8;18;8;6;15;8
9;18;9;2;2;0
10;18;10;7;18;0
11;18;11;8;19;0
12;18;12;4;20;0
13;18;13;6;4;0
14;18;14;9;8;0
15;18;15;7;6;0
16;18;16;10;22;0
17;18;17;9;14;0
18;18;18;11;12;0
19;18;19;8;21;0
20;18;20;5;9;0
21;18;21;10;16;0
22;18;22;11;10;0
23;19;8;6;2;1
24;19;9;2;4;2
25;19;5;1;8;3
26;19;15;7;3;4
27;19;1;1;9;5
28;19;2;2;5;6
29;19;17;9;6;7
30;19;4;4;7;8
31;19;14;9;12;9
32;19;18;11;11;10
33;19;12;4;13;11
34;19;21;10;17;12
35;19;22;11;14;13
36;19;3;3;16;14
37;19;19;8;21;15
38;19;11;8;19;16
39;19;6;3;22;17
40;19;20;5;15;0
41;19;13;6;1;0
42;19;16;10;20;0
43;19;10;7;10;0
44;19;7;5;18;0
45;20;13;6;2;1
46;20;8;6;4;2
47;20;9;2;1;3
48;20;2;2;6;4
49;20;5;1;5;5
50;20;15;7;7;6
51;20;17;9;11;7
52;20;3;3;8;8
53;20;10;7;13;9
54;20;4;4;10;10
55;20;22;11;12;11
56;20;21;10;18;12
57;20;1;1;3;13
58;20;6;3;16;14
59;20;7;5;15;15
60;20;19;8;21;16
61;20;11;8;22;17
62;20;14;9;17;18
63;20;16;10;20;19
64;20;12;4;14;0
65;20;18;11;9;0
66;20;20;5;19;0
67;21;8;6;1;1
68;21;13;6;3;2
69;21;1;1;5;3
70;21;9;2;4;4
71;21;17;9;7;5
72;21;18;11;13;6
73;21;6;3;12;7
74;21;15;7;8;8
75;21;2;2;9;9
76;21;21;10;19;10
77;21;10;7;14;11
78;21;14;9;17;12
79;21;11;8;22;13
80;21;3;3;15;0
81;21;4;4;2;0
82;21;22;11;11;0
83;21;5;1;6;0
84;21;19;8;21;0
85;21;7;5;16;0
86;21;12;4;10;0
87;21;16;10;20;0
88;21;20;5;18;0
89;22;13;6;1;1
90;22;1;1;3;2
91;22;8;6;4;3
92;22;9;2;5;4
93;22;2;2;9;5
94;22;4;4;7;6
95;22;17;9;6;7
96;22;3;3;11;8
97;22;14;9;10;9
98;22;15;7;8;10
99;22;18;11;13;11
100;22;5;1;2;12
101;22;10;7;15;13
102;22;22;11;12;14
103;22;12;4;17;15
104;22;16;10;19;16
105;22;20;5;14;17
106;22;7;5;18;0
107;22;6;3;16;0
108;22;21;10;20;0
109;23;1;1;3;1
110;23;9;2;5;2
111;23;13;6;1;3
112;23;17;9;9;4
113;23;20;5;19;5
114;23;22;11;14;6
115;23;6;3;13;7
116;23;5;1;4;8
117;23;8;6;2;9
118;23;4;4;7;10
119;23;18;11;11;11
120;23;10;7;10;12
121;23;15;7;8;13
122;23;2;2;12;14
123;23;16;10;18;0
124;23;3;3;6;0
125;23;12;4;17;0
126;23;21;10;20;0
127;23;14;9;15;0
128;23;7;5;16;0
129;24;9;2;2;1
130;24;2;2;8;2
131;24;14;9;13;3
132;24;10;7;11;4
133;24;13;6;6;5
134;24;15;7;14;6
135;24;22;11;9;7
136;24;20;5;19;8
137;24;5;1;7;9
138;24;3;3;5;10
139;24;18;11;20;11
140;24;17;9;10;12
141;24;7;5;18;13
142;24;21;10;17;0
143;24;6;3;12;0
144;24;4;4;4;0
145;24;12;4;15;0
146;24;8;6;3;0
147;24;1;1;1;0
148;24;16;10;16;0
149;25;13;6;2;1
150;25;8;6;1;2
151;25;15;7;4;3
152;25;5;1;10;4
153;25;9;2;5;5
154;25;17;9;6;6
155;25;12;4;9;7
156;25;4;4;3;8
157;25;14;9;7;9
158;25;1;1;13;10
159;25;10;7;8;11
160;25;20;5;12;12
161;25;2;2;11;13
162;25;22;11;20;14
163;25;6;3;15;15
164;25;3;3;19;16
165;25;7;5;14;17
166;25;21;10;17;18
167;25;16;10;18;19
168;25;18;11;16;0
169;26;1;1;4;1
170;26;2;2;5;2
171;26;22;11;16;3
172;26;8;6;3;4
173;26;5;1;1;5
174;26;4;4;6;6
175;26;15;7;14;7
176;26;6;3;15;8
177;26;3;3;20;9
178;26;17;9;2;10
179;26;7;5;13;11
180;26;10;7;12;12
181;26;13;6;9;13
182;26;9;2;10;0
183;26;18;11;17;0
184;26;12;4;7;0
185;26;21;10;19;0
186;26;16;10;18;0
187;26;20;5;8;0
188;26;14;9;11;0
189;27;1;1;1;1
190;27;12;4;17;2
191;27;13;6;2;3
192;27;2;2;12;4
193;27;5;1;3;5
194;27;8;6;6;6
195;27;9;2;7;7
196;27;20;5;9;8
197;27;15;7;4;9
198;27;3;3;13;10
199;27;4;4;5;11
200;27;7;5;15;12
201;27;14;9;10;13
202;27;6;3;16;14
203;27;16;10;19;15
204;27;21;10;20;16
205;27;18;11;14;17
206;27;22;11;18;0
207;27;17;9;8;0
208;27;10;7;11;0
209;28;5;1;2;1
210;28;10;7;5;2
211;28;8;6;6;3
212;28;4;4;7;4
213;28;1;1;1;5
214;28;12;4;10;6
215;28;15;7;9;7
216;28;9;2;4;8
217;28;17;9;8;9
218;28;2;2;15;10
219;28;14;9;13;11
220;28;18;11;12;12
221;28;6;3;16;13
222;28;3;3;14;14
223;28;21;10;18;15
224;28;22;11;17;16
225;28;13;6;3;17
226;28;7;5;19;18
227;28;16;10;20;0
228;28;20;5;11;0
229;29;13;6;1;1
230;29;1;1;2;2
231;29;9;2;3;3
232;29;5;1;5;4
233;29;15;7;7;5
234;29;20;5;6;6
235;29;10;7;13;7
236;29;3;3;9;8
237;29;2;2;8;9
238;29;7;5;10;10
239;29;12;4;15;11
240;29;17;9;14;12
241;29;18;11;16;13
242;29;21;10;18;14
243;29;6;3;11;15
244;29;22;11;19;16
245;29;14;9;17;17
246;29;8;6;4;0
247;29;16;10;20;0
248;29;4;4;12;0
249;30;13;6;2;1
250;30;2;2;5;2
251;30;1;1;1;3
252;30;4;4;6;4
253;30;20;5;10;5
254;30;9;2;8;6
255;30;7;5;9;7
256;30;17;9;7;8
257;30;10;7;13;9
258;30;5;1;3;10
259;30;14;9;14;11
260;30;3;3;15;12
261;30;16;10;18;13
262;30;6;3;19;14
263;30;18;11;17;15
264;30;15;7;11;16
265;30;21;10;20;17
266;30;8;6;4;18
267;30;22;11;16;0
268;30;12;4;12;0
269;31;20;5;1;1
270;31;5;1;2;2
271;31;9;2;11;3
272;31;4;4;8;4
273;31;2;2;10;5
274;31;13;6;6;6
275;31;1;1;15;7
276;31;17;9;3;8
277;31;8;6;14;9
278;31;12;4;17;10
279;31;10;7;9;11
280;31;6;3;18;12
281;31;15;7;7;13
282;31;3;3;5;14
283;31;18;11;19;15
284;31;14;9;13;16
285;31;22;11;16;17
286;31;7;5;4;18
287;31;16;10;20;19
288;31;21;10;12;0
289;32;4;4;15;1
290;32;3;3;8;2
291;32;1;1;2;3
292;32;10;7;7;4
293;32;20;5;6;5
294;32;2;2;9;6
295;32;14;9;14;7
296;32;6;3;10;8
297;32;18;11;12;9
298;32;5;1;5;10
299;32;9;2;4;11
300;32;7;5;17;12
301;32;13;6;1;13
302;32;21;10;20;14
303;32;8;6;3;15
304;32;15;7;11;0
305;32;16;10;19;0
306;32;17;9;13;0
307;32;22;11;18;0
308;32;12;4;16;0
309;33;4;4;4;1
310;33;9;2;6;2
311;33;8;6;2;3
312;33;12;4;12;4
313;33;15;7;7;5
314;33;20;5;9;6
315;33;13;6;5;7
316;33;17;9;13;8
317;33;2;2;16;9
318;33;7;5;10;10
319;33;3;3;15;11
320;33;1;1;1;12
321;33;22;11;17;13
322;33;18;11;18;14
323;33;6;3;14;15
324;33;21;10;20;0
325;33;5;1;3;0
326;33;16;10;19;0
327;33;10;7;8;0
328;33;14;9;11;0
329;34;1;1;1;1
330;34;13;6;3;2
331;34;8;6;2;3
332;34;4;4;4;4
333;34;2;2;9;5
334;34;9;2;11;6
335;34;10;7;12;7
336;34;12;4;10;8
337;34;20;5;6;9
338;34;14;9;15;10
339;34;22;11;13;11
340;34;6;3;17;12
341;34;7;5;8;13
342;34;17;9;16;14
343;34;3;3;14;15
344;34;18;11;18;16
345;34;21;10;20;17
346;34;5;1;5;0
347;34;16;10;19;0
348;34;15;7;7;0
349;35;13;6;1;1
350;35;4;4;6;2
351;35;8;6;3;3
352;35;20;5;7;4
353;35;1;1;4;5
354;35;10;7;10;6
355;35;5;1;5;7
356;35;15;7;2;8
357;35;17;9;12;9
358;35;2;2;8;10
359;35;9;2;13;11
360;35;3;3;18;12
361;35;18;11;17;13
362;35;7;5;9;14
